movement,StartTimeUS,EndTimeUS,DurationUS
DOWN,0,92804,92804
UP,92804,2445043,2352239
DOWN,2445043,2600865,155822
UP,2600865,5955499,3354634
DOWN,5955499,6159587,204088
UP,6159587,13527517,7367930
DOWN,13527517,13715640,188123
UP,13715640,32410346,18694706
DOWN,32410346,32624502,214156
UP,32624502,41157502,8533000
DOWN,41157502,41345301,187799
UP,41345301,49828148,8482847
DOWN,49828148,49999379,171231
UP,49999379,54404884,4405505
DOWN,54404884,54592987,188103
UP,54592987,60712965,6119978
DOWN,60712965,60884311,171346
UP,60884311,65805882,4921571
DOWN,65805882,65960506,154624
UP,65960506,72096612,6136106
DOWN,72096612,72235087,138475
UP,72235087,78121566,5886479
DOWN,78121566,78259707,138141
UP,78259707,83130886,4871179
DOWN,83130886,83269089,138203
UP,83269089,88590066,5320977
DOWN,88590066,88711829,121763
UP,88711829,96645426,7933597
DOWN,96645426,96833577,188151
UP,96833577,106880700,10047123
DOWN,106880700,107052470,171770
UP,107052470,112073683,5021213
DOWN,112073683,112211588,137905
UP,112211588,127005868,14794280
DOWN,127005868,127169996,164128
UP,127169996,135652879,8482883
DOWN,135652879,135841757,188878
UP,135841757,144107550,8265793
DOWN,144107550,144296186,188636
UP,144296186,151613472,7317286
DOWN,151613472,151768185,154713
UP,151768185,163364988,11596803
DOWN,163364988,163479423,114435
UP,163479423,173060310,9580887
DOWN,173060310,173148692,88382
UP,173148692,187217648,14068956
DOWN,187217648,187414984,197336
UP,187414984,197128863,9713879
DOWN,197128863,197316701,187838
UP,197316701,205666357,8349656
DOWN,205666357,205887515,221158
UP,205887515,212805376,6917861
DOWN,212805376,212993601,188225
UP,212993601,219861421,6867820
DOWN,219861421,220049730,188309
UP,220049730,222740479,2690749
DOWN,222740479,222912169,171690
UP,222912169,239336065,16423896
DOWN,239336065,239500274,164209
UP,239500274,247933601,8433327
DOWN,247933601,248088510,154909
UP,248088510,257204503,9115993
DOWN,257204503,257342737,138234
UP,257342737,265892694,8549957
DOWN,265892694,266080722,188028
UP,266080722,274547222,8466500
DOWN,274547222,274702199,154977
UP,274702199,281071337,6369138
DOWN,281071337,281242955,171618
UP,281242955,290174622,8931667
DOWN,290174622,290346239,171617
UP,290346239,295833226,5486987
DOWN,295833226,295988149,154923
UP,295988149,304420657,8432508
DOWN,304420657,304525704,105047
UP,304525704,346855981,42330277
DOWN,346855981,347020396,164415
UP,347020396,366415431,19395035
DOWN,366415431,366579663,164232
UP,366579663,376709388,10129725
DOWN,376709388,376897651,188263
UP,376897651,378889148,1991497
DOWN,378889148,379077558,188410
UP,379077558,393404031,14326473
DOWN,393404031,393601534,197503
UP,393601534,400486322,6884788
DOWN,400486322,400657811,171489
UP,400657811,406810175,6152364
DOWN,406810175,407014910,204735
UP,407014910,415014256,7999346
DOWN,415014256,415185808,171552
UP,415185808,421572819,6387011
DOWN,421572819,421709414,136595
UP,421709414,459356657,37647243
DOWN,459356657,459587720,231063
UP,459587720,470422473,10834753
DOWN,470422473,470586667,164194
UP,470586667,474026331,3439664
DOWN,474026331,474197869,171538
UP,474197869,489150256,14952387
DOWN,489150256,489348224,197968
UP,489348224,495600582,6252358
DOWN,495600582,495805391,204809
UP,495805391,498279960,2474569
DOWN,498279960,498451506,171546
UP,498451506,507815648,9364142
DOWN,507815648,508021483,205835
UP,508021483,516502849,8481366
DOWN,516502849,516658536,155687
UP,516658536,524075343,7416807
DOWN,524075343,524214404,139061
UP,524214404,534227341,10012937
DOWN,534227341,534332316,104975
UP,534332316,543047777,8715461
DOWN,543047777,543237028,189251
UP,543237028,548673331,5436303
DOWN,548673331,548811095,137764
UP,548811095,566077465,17266370
DOWN,566077465,566275448,197983
UP,566275448,575106792,8831344
DOWN,575106792,575245290,138498
UP,575245290,582079864,6834574
DOWN,582079864,582267945,188081
UP,582267945,586406981,4139036
DOWN,586406981,586595196,188215
UP,586595196,595743262,9148066
DOWN,595743262,595898023,154761
UP,595898023,599570934,3672911
DOWN,599570934,599725851,154917
UP,599725851,605278947,5553096
DOWN,605278947,605438837,159890
UP,605438837,611020958,5582121
DOWN,611020958,611208800,187842
UP,611208800,615447716,4238916
DOWN,615447716,615668904,221188
UP,615668904,-1,-1
